idCompra;idItemCompra;forma;modalidade;criterioJulgamento;numeroItemCompra;descricaoItem;codigoItemCatalogo;nomeUnidadeMedida;siglaUnidadeMedida;nomeUnidadeFornecimento;siglaUnidadeFornecimento;capacidadeUnidadeFornecimento;quantidade;precoUnitario;percentualMaiorDesconto;niFornecedor;nomeFornecedor;marca;codigoUasg;nomeUasg;codigoMunicipio;municipio;estado;codigoOrgao;nomeOrgao;poder;esfera;dataCompra;dataHoraAtualizacaoCompra;dataHoraAtualizacaoItem;dataResultado;dataHoraAtualizacaoUasg;codigoClasse;nomeClasse
92749205000012022;654979;SISRP;5;V;184;PIRACETAM, CONCENTRAÇÃO: 800 MG;275124;null;;COMPRIMIDO;COMPR;0,00;2.040,00;1,15;0,00;04216957000120;DISK MED PADUA DISTRIBUIDORA DE MEDICAMENTOS LTDA;UCB BIOPHARMA;927492;FUNDO MUN DE SAUDE DE VASSOURAS - RJ;3306206;VASSOURAS;RJ;99083;FUNDO MUN DE SAUDE DE VASSOURAS - RJ;E;M;2022-04-08 00:00:00.0;2023-04-09T03:30:00.052398;2023-04-09T04:00:00.052520;2022-04-08 00:00:00.0;2024-04-06T15:14;6505;DROGAS E MEDICAMENTOS
92678205000392022;2718514;SISRP;5;V;502;PIRACETAM, CONCENTRAÇÃO: 800 MG;275124;null;;COMPRIMIDO;COMPR;0,00;6.000,00;1,02;0,00;04470877000105;MEDIGRAM COMERCIO DE MEDICAMENTOS LTDA;SANOFI-MEDLEY;926782;CONSÓRCIO INTERMUN.DE SAÚDE DE PATO BRANCO-PR;4118501;PATO BRANCO;PR;98259;CONSÓRCIO INTERMUN.DE SAÚDE DE PATO BRANCO-PR;E;M;2023-04-28 00:00:00.0;2024-04-29T03:29:59.894783;2024-04-29T03:59:59.880549;2023-04-28 00:00:00.0;2024-04-06T15:14;6505;DROGAS E MEDICAMENTOS
98302305000102022;792969;SISRP;5;V;179;PIRACETAM, CONCENTRAÇÃO: 800 MG;275124;null;;COMPRIMIDO;COMPR;0,00;4.000,00;1,24;0,00;25279552000101;DISTRIBUIDORA DE MEDICAMENTOS BACKES EIRELI;NOOTROPIL;983023;PREFEITURA MUNICIPAL PRES. TANCREDO NEVES-BA;2925758;PRESIDENTE TANCREDO NEVES;BA;94988;PREFEITURA MUNICIPAL PRES. TANCREDO NEVES-BA;E;M;2022-05-11 00:00:00.0;2023-05-12T03:30:00.053724;2023-05-12T04:00:00.048690;2022-05-11 00:00:00.0;2024-04-14T15:14;6505;DROGAS E MEDICAMENTOS
98624505000142023;2874917;SISRP;5;V;332;PIRACETAM, CONCENTRAÇÃO: 800 MG;275124;null;;COMPRIMIDO;COMPR;0,00;990,00;1,08;0,00;28123417000160;PARTNER FARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA;NOOTROPIL;986245;PREFEITURA MUNICIPAL DE BORACÉIA - SP;3507308;BORACÉIA;SP;95675;PREFEITURA MUNICIPAL DE BORACÉIA - SP;E;M;2023-05-23 00:00:00.0;2024-05-24T03:29:59.851576;2024-05-24T03:59:59.832608;2023-05-23 00:00:00.0;2024-03-30T15:14;6505;DROGAS E MEDICAMENTOS
98217905000492022;874763;SISRP;5;V;39;PIRACETAM, CONCENTRAÇÃO: 800 MG;275124;null;;COMPRIMIDO;COMPR;0,00;15,00;36,15;0,00;22449446000130;MARIA DO O DANTAS CARDOSO;SANOFI;982179;PREFEITURA MUNICIPAL DE SÃO BENTO - PB;2513901;SÃO BENTO;PB;98938;PREFEITURA MUNICIPAL DE SÃO BENTO - PB;E;M;2022-05-31 00:00:00.0;2023-06-01T03:30:00.002822;2023-06-01T04:00:00.003014;2022-05-31 00:00:00.0;2024-04-18T12:21;6505;DROGAS E MEDICAMENTOS
98059505001002021;1645439;SISRP;5;V;116;PIRACETAM, CONCENTRAÇÃO: 800 MG;275124;null;;COMPRIMIDO;COMPR;0,00;55.000,00;0,45;0,00;31509165000117;ULTRAMED DISTRIBUIDORA DE MEDICAMENTOS EIRELI;Sanofi medley;980595;PREFEITURA MUNICIPAL DE PARAUAPEBAS - PA;1505536;PARAUAPEBAS;PA;98882;PREFEITURA MUNICIPAL DE PARAUAPEBAS - PA;E;M;2022-10-20 00:00:00.0;2023-10-21T03:30:00.001901;2023-10-21T04:00:00.005904;2022-10-20 00:00:00.0;2024-04-07T15:14;6505;DROGAS E MEDICAMENTOS
98504105000572022;1270124;SISRP;5;V;61;PIRACETAM, CONCENTRAÇÃO: 800 MG;275124;null;;COMPRIMIDO;COMPR;0,00;2.000,00;0,62;0,00;37920081000158;PONTES E GUEDES DISTRIBUIDORA DE MEDICAMENTOS LTDA;UCB;985041;PREFEITURA MUNICIPAL DE PONTE NOVA - MG;3152105;PONTE NOVA;MG;98750;PREFEITURA MUNICIPAL DE PONTE NOVA - MG;E;M;2022-08-09 00:00:00.0;2023-08-10T03:30:00.045306;2023-08-10T04:00:00.043816;2022-08-09 00:00:00.0;2024-04-13T15:14;6505;DROGAS E MEDICAMENTOS
92660605000242023;3805364;SISRP;5;V;240;PIRACETAM, CONCENTRAÇÃO: 800 MG;275124;null;;COMPRIMIDO;COMPR;0,00;300,00;1,31;0,00;02326373000182;GLOBO FARMA LTDA;SANOFI;926606;PREFEITURA MUNICIPAL DE CORIBE - BA;2909109;CORIBE;BA;95016;PREFEITURA MUNICIPAL DE CORIBE - BA;E;M;2023-10-23 00:00:00.0;2024-10-24T03:29:58.926750;2024-10-24T03:59:58.908353;2023-10-23 00:00:00.0;2024-04-14T15:14;6505;DROGAS E MEDICAMENTOS
98624505900332024;5379252;SISRP;5;V;343;PIRACETAM, CONCENTRAÇÃO: 800 MG;275124;null;;COMPRIMIDO;COMPR;0,00;2.000,00;1,13;0,00;28123417000160;PARTNER FARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA;CX C/ 30 COMP - RMS;986245;PREFEITURA MUNICIPAL DE BORACÉIA - SP;3507308;BORACÉIA;SP;95675;PREFEITURA MUNICIPAL DE BORACÉIA - SP;E;M;2024-10-25 00:00:00.0;2024-10-26T02:00:05.399519;2024-10-26T03:00:20.974422;2024-10-25 00:00:00.0;2024-03-30T15:14;6505;DROGAS E MEDICAMENTOS
92512005903052024;6005760;SISRP;5;V;10;PIRACETAM, CONCENTRAÇÃO: 800 MG;275124;null;;COMPRIMIDO;COMPR;0,00;9.000,00;0,88;0,00;00809672000142;FARMALIBRA COMERCIO DE PRODUTOS HOSPITALARES LTDA;COMPRIMIDO /CAIXA 30;925120;EES-SECRETARIA DE ESTADO DA SAUDE;3205309;VITÓRIA;ES;99469;EES-SECRETARIA ESTADUAL DA SAUDE;E;E;2024-10-02 00:00:00.0;2024-10-03T02:00:06.725151;2024-10-03T03:01:43.267500;2024-10-02 00:00:00.0;2025-04-06T10:45;6505;DROGAS E MEDICAMENTOS
