idCompra;idItemCompra;forma;modalidade;criterioJulgamento;numeroItemCompra;descricaoItem;codigoItemCatalogo;nomeUnidadeMedida;siglaUnidadeMedida;nomeUnidadeFornecimento;siglaUnidadeFornecimento;capacidadeUnidadeFornecimento;quantidade;precoUnitario;percentualMaiorDesconto;niFornecedor;nomeFornecedor;marca;codigoUasg;nomeUasg;codigoMunicipio;municipio;estado;codigoOrgao;nomeOrgao;poder;esfera;dataCompra;dataHoraAtualizacaoCompra;dataHoraAtualizacaoItem;dataResultado;dataHoraAtualizacaoUasg;codigoClasse;nomeClasse
98357905900012025;8023860;SISRP;5;V;202;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO DEGERMANTE ;398705;null;L;FRASCO;FR;1,00;360,00;7,17;0,00;15229287000101;VIVRE COMERCIO DE PRODUTOS HOSPITALARES LTDA;RIOQUIMICA;983579;PREFEITURA MUNICIPAL DE IPIAÚ - BA;2913903;IPIAÚ;BA;95078;PREFEITURA MUNICIPAL DE IPIAÚ - BA;E;M;2025-04-23 00:00:00.0;2025-04-24T02:00:13.064407;2025-04-24T03:01:13.961088;2025-04-23 00:00:00.0;2024-10-05T11:09;6505;DROGAS E MEDICAMENTOS
16800606900472025;8032504;SISPP;6;1;19;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO DEGERMANTE ;398705;null;ML;FRASCO;FR;100,00;10,00;7,99;0,00;03339270000110;THE BEST PHARMA LTDA;Rio;168006;INDUSTRIA DE MATERIAL BELICO DO BRASIL/FJF;3136702;JUIZ DE FORA;MG;52221;INDUSTRIA DE MATERIAL BELICO DO BRASIL;E;F;2025-04-24 00:00:00.0;2025-04-25T01:00:09.698166;2025-04-25T02:30:33.787613;2025-04-24 00:00:00.0;2025-09-09T09:14;6505;DROGAS E MEDICAMENTOS
92677505002772023;4525504;SISRP;5;V;19;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO DEGERMANTE ;398705;null;ML;FRASCO;FR;100,00;45.000,00;5,25;0,00;09182725000112;ATIVA MEDICO CIRURGICA LTDA;VIC PHARMA IND. COME;926775;FUNDO ESTADUAL DE SAÚDE;2800308;ARACAJU;SE;94820;ESE-ESTADO DE SERGIPE;E;E;2024-04-24 00:00:00.0;2025-04-25T03:29:59.948296;2025-04-25T03:59:59.967125;2024-04-24 00:00:00.0;2025-01-30T13:52;6505;DROGAS E MEDICAMENTOS
12062805900112025;7978891;SISRP;5;V;159;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO DEGERMANTE ;398705;null;ML;FRASCO;FR;100,00;200,00;8,57;0,00;05048534000101;NORTEMED DISTRIBUIDORA DE PRODUTOS MEDICOS LTDA;Frasco 100,00 ML;120628;GRUPAMENTO DE APOIO DE BELÉM;1501402;BELÉM;PA;52111;COMANDO DA AERONÁUTICA;E;F;2025-04-24 00:00:00.0;2025-04-25T02:00:15.409867;2025-04-25T08:15:31.446301;2025-04-24 00:00:00.0;2025-09-01T09:25;6505;DROGAS E MEDICAMENTOS
98154705900052025;8045306;SISPP;5;V;50;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO DEGERMANTE ;398705;null;L;FRASCO;FR;1,00;600,00;14,80;0,00;05234475000166;HIFARMA COMERCIO E REPRESENTACOES LTDA;VICPHARMA;981547;PREFEITURA MUNICIPAL DE SÃO BENEDITO - CE;2312304;SÃO BENEDITO;CE;94392;PREFEITURA MUNICIPAL DE SÃO BENEDITO - CE;E;M;2025-04-24 00:00:00.0;2025-04-25T02:00:15.777615;2025-04-25T08:17:11.242045;2025-04-24 00:00:00.0;2024-04-14T15:14;6505;DROGAS E MEDICAMENTOS
98756105900092024;4910464;SISRP;5;V;27;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO DEGERMANTE ;398705;null;L;FRASCO;FR;1,00;30,00;40,00;0,00;32421421000182;MULTIHOSP COMERCIAL DE PRODUTOS HOSPITALARES LTDA;RIOQUIMICA;987561;PREFEITURA MUNICIPAL DE FORMOSA DO OESTE - PR;4108205;FORMOSA DO OESTE;PR;97955;PREFEITURA DE FORMOSA DO OESTE - PR;E;M;2024-04-29 00:00:00.0;2025-04-30T03:29:59.378196;2025-04-30T03:59:59.385994;2024-04-29 00:00:00.0;2023-06-16T15:04;6505;DROGAS E MEDICAMENTOS
15307905900082025;8090548;SISRP;5;V;53;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO DEGERMANTE ;398705;null;L;FRASCO;FR;1,00;209,00;41,32;0,00;48174071000137;WISDOM FARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA;FRC;153079;UNIVERSIDADE FEDERAL DO PARANA;4106902;CURITIBA;PR;26241;UNIVERSIDADE FEDERAL DO PARANA;E;F;2025-04-29 00:00:00.0;2025-04-30T07:51:54.027623;2025-04-30T07:56:39.742403;2025-04-29 00:00:00.0;2025-09-12T10:44;6505;DROGAS E MEDICAMENTOS
45657805900192025;8107333;SISRP;5;V;242;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO DEGERMANTE ;398705;null;ML;FRASCO;FR;100,00;150,00;3,60;0,00;45216228000151;GM COMERCIAL HOSPITALAR LTDA;RIOQUIMICA;456578;PREFEITURA MUN. DE BOA VISTA DA APARECIDA-PR;4103057;BOA VISTA DA APARECIDA;PR;97999;PREFEITURA DE BOA VISTA DA APARECIDA - PR;E;M;2025-04-30 00:00:00.0;2025-05-05T08:14:36.457825;2025-05-01T03:05:25.499287;2025-04-30 00:00:00.0;2023-06-26T16:38;6505;DROGAS E MEDICAMENTOS
92555005900342025;8090045;SISRP;5;V;11;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO DEGERMANTE ;398705;null;L;FRASCO;FR;1,00;2.500,00;39,17;0,00;40787152000109;CIRUFARMA COMERCIAL LTDA;VIC PHARMA;925550;ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;2408102;NATAL;RN;99791;ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;E;E;2025-04-29 00:00:00.0;2025-04-30T07:51:53.914661;2025-04-30T07:56:22.742202;2025-04-29 00:00:00.0;2024-10-13T11:09;6505;DROGAS E MEDICAMENTOS
45657805900192025;8107334;SISRP;5;V;243;IODOPOVIDONA (PVPI), CONCENTRAÇÃO: A 10% ( TEOR DE IODO 1% ) , FORMA FARMACEUTICA: SOLUÇÃO DEGERMANTE ;398705;null;L;FRASCO;FR;1,00;20,00;29,79;0,00;45216228000151;GM COMERCIAL HOSPITALAR LTDA;RIOQUIMICA;456578;PREFEITURA MUN. DE BOA VISTA DA APARECIDA-PR;4103057;BOA VISTA DA APARECIDA;PR;97999;PREFEITURA DE BOA VISTA DA APARECIDA - PR;E;M;2025-04-30 00:00:00.0;2025-05-05T08:14:36.457825;2025-05-01T03:05:25.539493;2025-04-30 00:00:00.0;2023-06-26T16:38;6505;DROGAS E MEDICAMENTOS
