idCompra;idItemCompra;forma;modalidade;criterioJulgamento;numeroItemCompra;descricaoItem;codigoItemCatalogo;nomeUnidadeMedida;siglaUnidadeMedida;nomeUnidadeFornecimento;siglaUnidadeFornecimento;capacidadeUnidadeFornecimento;quantidade;precoUnitario;percentualMaiorDesconto;niFornecedor;nomeFornecedor;marca;codigoUasg;nomeUasg;codigoMunicipio;municipio;estado;codigoOrgao;nomeOrgao;poder;esfera;dataCompra;dataHoraAtualizacaoCompra;dataHoraAtualizacaoItem;dataResultado;dataHoraAtualizacaoUasg;codigoClasse;nomeClasse
98776905001132023;4621797;SISRP;5;V;17;CETOPROFENO, CONCENTRAÇAO: 50 MG/ML, FORMA FARMACEUTICA: SOLUÇÃO INJETÁVEL ;448845;null;ML;AMPOLA;AM;2,00;4.000,00;1,24;0,00;40420219000164;W.A MEDICAMENTOS SOLUCOES EM SAUDE LTDA; CRISTALIA;987769;PREFEITURA MUNICIPAL DE PIRAQUARA - PR;4119509;PIRAQUARA;PR;97939;PREFEITURA DE PIRAQUARA - PR;E;M;2024-03-04 00:00:00.0;2025-03-05T03:29:58.949506;2025-03-05T03:59:58.942073;2024-03-04 00:00:00.0;2023-06-16T15:04;6505;DROGAS E MEDICAMENTOS
98662905900012025;7441789;SISRP;5;V;96;CETOPROFENO, CONCENTRAÇAO: 50 MG/ML, FORMA FARMACEUTICA: SOLUÇÃO INJETÁVEL ;448845;null;;FRASCO-AMPOLA;FR-AM;0,00;3.000,00;1,17;0,00;12889035000293;INOVAMED HOSPITALAR LTDA;Hipolabor;986629;PREFEITURA MUNICIPAL  DE LARANJAL PAULISTA-SP;3526407;LARANJAL PAULISTA;SP;95890;PREFEITURA MUNICIPAL  DE LARANJAL PAULISTA-SP;E;M;2025-03-05 00:00:00.0;2025-03-06T02:00:03.722791;2025-03-06T03:00:54.840365;2025-03-05 00:00:00.0;2024-03-24T15:14;6505;DROGAS E MEDICAMENTOS
15591005900022025;7623702;SISRP;5;V;77;CETOPROFENO, CONCENTRAÇAO: 50 MG/ML, FORMA FARMACEUTICA: SOLUÇÃO INJETÁVEL ;448845;null;ML;AMPOLA;AM;2,00;3.300,00;1,33;0,00;08778201000126;DROGAFONTE LTDA;AMP;155910;HOSPITAL UNIV. MONS. JOÃO B. DE CARVALHO D.;2803500;LAGARTO;SE;26443;EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES;E;F;2025-03-06 00:00:00.0;2025-03-07T02:00:09.447830;2025-03-07T03:01:40.761986;2025-03-06 00:00:00.0;2025-03-18T17:23;6505;DROGAS E MEDICAMENTOS
15502205000792023;4342230;SISRP;5;V;16;CETOPROFENO, CONCENTRAÇAO: 50 MG/ML, FORMA FARMACEUTICA: SOLUÇÃO INJETÁVEL ;448845;null;ML;AMPOLA;AM;2,00;500,00;1,55;0,00;08674752000140;CIRURGICA MONTEBELLO LTDA;UNIAO QUIMICA;155022;HOSPITAL DAS CLINICAS DE PERNAMBUCO;2611606;RECIFE;PE;26443;EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES;E;F;2024-03-07 00:00:00.0;2025-03-08T03:29:59.882144;2025-03-08T03:59:59.865347;2024-03-07 00:00:00.0;2025-03-18T17:23;6505;DROGAS E MEDICAMENTOS
98748905900082025;7645188;SISPP;5;V;13;CETOPROFENO, CONCENTRAÇAO: 50 MG/ML, FORMA FARMACEUTICA: SOLUÇÃO INJETÁVEL ;448845;null;ML;AMPOLA;AM;2,00;1.500,00;1,25;0,00;12418191000195;CONQUISTA DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA;GENÉRICO/HIPOLABOR;987489;PREFEITURA MUN.DE CAPITÃO LEÔNIDAS MARQUES/PR;4104600;CAPITÃO LEÔNIDAS MARQUES;PR;97909;PREFEITURA DE CAPITÃO LEÔNIDAS MARQUES - PR;E;M;2025-03-10 00:00:00.0;2025-03-11T02:00:11.114220;2025-03-11T03:03:00.665858;2025-03-10 00:00:00.0;2023-06-16T15:04;6505;DROGAS E MEDICAMENTOS
16020905000132023;4653691;SISRP;5;V;27;CETOPROFENO, CONCENTRAÇAO: 50 MG/ML, FORMA FARMACEUTICA: SOLUÇÃO INJETÁVEL ;448845;null;ML;AMPOLA;AM;2,00;800,00;1,74;0,00;43607262000121;INPHARMA HOSPITALAR LTDA;CETOPROFENO 50MG/ML;160209;15ª BRIGADA DE INFANTARIA MECANIZADA;4104808;CASCAVEL;PR;52121;COMANDO DO EXERCITO;E;F;2024-03-11 00:00:00.0;2025-03-12T03:29:59.872112;2025-03-12T03:59:59.852027;2024-03-11 00:00:00.0;2025-08-22T11:29;6505;DROGAS E MEDICAMENTOS
16010505000192023;4658502;SISRP;5;V;55;CETOPROFENO, CONCENTRAÇAO: 50 MG/ML, FORMA FARMACEUTICA: SOLUÇÃO INJETÁVEL ;448845;null;ML;AMPOLA;AM;2,00;1.000,00;1,94;0,00;34772843000128;NOVA OESTE  DISTRIBUIDORA DE MEDICAMENTOS LTDA;Genérico;160105;24º BATALHÃO DE INFANTARIA DE SELVA;2111300;SÃO LUÍS;MA;52121;COMANDO DO EXERCITO;E;F;2024-03-11 00:00:00.0;2025-03-12T03:29:59.872112;2025-03-12T03:59:59.852027;2024-03-11 00:00:00.0;2025-09-01T14:55;6505;DROGAS E MEDICAMENTOS
98394905900072024;4658692;SISRP;5;V;13;CETOPROFENO, CONCENTRAÇAO: 50 MG/ML, FORMA FARMACEUTICA: SOLUÇÃO INJETÁVEL ;448845;null;ML;AMPOLA;AM;2,00;3.000,00;2,00;0,00;96827563000127;MEDISIL MEDICAMENTOS LTDA;amp;983949;MBA-PREFEITURA MUNICIPAL DE UNA;2932507;UNA;BA;95057;PREFEITURA MUNICIPAL DE UNA - BA;E;M;2024-03-11 00:00:00.0;2025-03-12T03:29:59.872112;2025-03-12T03:59:59.852027;2024-03-11 00:00:00.0;2025-04-27T12:13;6505;DROGAS E MEDICAMENTOS
98551705900102024;4883336;SISRP;5;V;47;CETOPROFENO, CONCENTRAÇAO: 50 MG/ML, FORMA FARMACEUTICA: SOLUÇÃO INJETÁVEL ;448845;null;ML;AMPOLA;AM;2,00;2.000,00;1,36;0,00;32421421000182;MULTIHOSP COMERCIAL DE PRODUTOS HOSPITALARES LTDA;UNIAO QUIMICA;985517;PREFEITURA MUNICIPAL DE NOVO ITACOLOMI - PR;4117297;NOVO ITACOLOMI;PR;96213;PREFEITURA MUNICIPAL DE NOVO ITACOLOMI - PR;E;M;2025-03-12 00:00:00.0;2025-03-13T02:00:11.212023;2025-03-13T03:00:04.543610;2025-03-12 00:00:00.0;2024-10-12T11:09;6505;DROGAS E MEDICAMENTOS
92501605000652023;4670232;SISRP;5;V;18;CETOPROFENO, CONCENTRAÇAO: 50 MG/ML, FORMA FARMACEUTICA: SOLUÇÃO INJETÁVEL ;448845;null;ML;AMPOLA;AM;2,00;53.400,00;1,24;0,00;08778201000126;DROGAFONTE LTDA;HIPOLABOR-MG (MG);925016;FUNDAÇAO MUNICIPAL DE SAUDE DE NITERÓI - RJ;3303302;NITERÓI;RJ;99031;FUNDAÇAO MUNICIPAL DE SAUDE DE NITERÓI - RJ;E;M;2024-03-13 00:00:00.0;2025-03-14T03:29:59.882554;2025-03-14T03:59:59.863226;2024-03-13 00:00:00.0;2024-04-06T15:14;6505;DROGAS E MEDICAMENTOS
