idCompra;idItemCompra;forma;modalidade;criterioJulgamento;numeroItemCompra;descricaoItem;codigoItemCatalogo;nomeUnidadeMedida;siglaUnidadeMedida;nomeUnidadeFornecimento;siglaUnidadeFornecimento;capacidadeUnidadeFornecimento;quantidade;precoUnitario;percentualMaiorDesconto;niFornecedor;nomeFornecedor;marca;codigoUasg;nomeUasg;codigoMunicipio;municipio;estado;codigoOrgao;nomeOrgao;poder;esfera;dataCompra;dataHoraAtualizacaoCompra;dataHoraAtualizacaoItem;dataResultado;dataHoraAtualizacaoUasg;codigoClasse;nomeClasse
12062805000832023;4266887;SISRP;5;V;131;METRONIDAZOL, DOSAGEM: 5MG/ML , APRESENTAÇÃO: SOLUÇÃO INJETÁVEL ;268498;null;ML;FRASCO;FR;100,00;1.650,00;6,91;0,00;28387424000170;M MED COMERCIAL DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA;""METRONIDAZOL 5 MG/M;120628;GRUPAMENTO DE APOIO DE BELÉM;1501402;BELÉM;PA;52111;COMANDO DA AERONÁUTICA;E;F;2023-12-22 00:00:00.0;2024-12-23T03:29:59.892770;2024-12-23T03:59:59.884723;2023-12-22 00:00:00.0;2025-09-01T09:25;6505;DROGAS E MEDICAMENTOS
92977005900422024;7348971;SISRP;5;V;98;ONDANSETRONA CLORIDRATO, DOSAGEM: 2 MG/ML, INDICAÇÃO: INJETÁVEL ;268504;null;ML;AMPOLA;AM;4,00;10.000,00;0,97;0,00;35959514000153;TOLESUL DISTRIBUIDORA DE MEDICAMENTOS LTDA;ONDANSETRONA CLOR ";;929770;MMS-FUNDAÇÃO DE SERVICOS DE SAÚDE DE DOURADOS;5003702;DOURADOS;MS;85480;MMS-FUNDAÇÃO DE SERVICOS DE SAÚDE DE DOURADOS;E;M;2025-01-28 00:00:00.0;2025-01-29T02:00:09.010685;2025-01-29T03:02:32.105892;2025-01-28 00:00:00.0;2025-02-28T15:20;6505;DROGAS E MEDICAMENTOS
98884105900052024;4770760;SISRP;5;V;29;ONDANSETRONA CLORIDRATO, DOSAGEM: 2 MG/ML, INDICAÇÃO: INJETÁVEL ;268504;null;ML;AMPOLA;AM;4,00;15.000,00;1,83;0,00;43607262000121;INPHARMA HOSPITALAR LTDA;ONDANSETRONA CLOR ";;988841;PREFEITURA MUNICIPAL DE SANTA MARIA/RS;4316907;SANTA MARIA;RS;96437;PREFEITURA DE SANTA MARIA/RS;E;M;2024-04-03 00:00:00.0;2025-04-04T03:29:59.107164;2025-04-04T03:59:59.112533;2024-04-03 00:00:00.0;2023-02-22T16:30;6505;DROGAS E MEDICAMENTOS
16014905000082023;4943591;SISRP;5;V;140;ONDANSETRONA CLORIDRATO, DOSAGEM: 2 MG/ML, INDICAÇÃO: INJETÁVEL ;268504;null;ML;AMPOLA;AM;4,00;800,00;1,88;0,00;43607262000121;INPHARMA HOSPITALAR LTDA;ONDANSETRONA CLOR ";;160149;MEX-COMANDO 4.BRIGADA CAVALARIA MECANIZADA/MS;5003702;DOURADOS;MS;52121;COMANDO DO EXERCITO;E;F;2024-05-06 00:00:00.0;2025-05-07T03:29:59.914592;2025-05-07T03:59:59.899563;2024-05-06 00:00:00.0;2025-09-04T16:16;6505;DROGAS E MEDICAMENTOS
16036505000082023;5156842;SISRP;5;V;157;ONDANSETRONA CLORIDRATO, DOSAGEM: 2 MG/ML, INDICAÇÃO: INJETÁVEL ;268504;null;ML;AMPOLA;AM;4,00;2.600,00;1,88;0,00;43607262000121;INPHARMA HOSPITALAR LTDA;ONDANSETRONA CLOR ";;160365;HOSPITAL DE GUARNICAO DE BAGE/RS;4301602;BAGÉ;RS;52121;COMANDO DO EXERCITO;E;F;2024-06-25 00:00:00.0;2025-06-26T03:30:00.002418;2025-06-26T04:00:00.023734;2024-06-25 00:00:00.0;2025-09-18T08:34;6505;DROGAS E MEDICAMENTOS
8000706000532025;7971111;SISPP;6; ;2;LIDOCAÍNA CLORIDRATO, COMPOSIÇÃO: ASSOCIADA COM EPINEFRINA , DOSAGEM: 2% + 1:100.000 , APRESENTAÇÃO: INJETÁVEL ;269851;null;ML;TUBETE;TBTE;1,80;8,00;145,87;0,00;02477571000147;DENTAL MED SUL ARTIGOS ODONTOLOGICOS LTDA;";;080007;TRIBUNAL REGIONAL DO TRABALHO DA 5A.REGIAO;2927408;SALVADOR;BA;15000;JUSTICA DO TRABALHO;L;F;2025-04-14 00:00:00.0;2025-04-16T02:15:23.286673;2025-04-16T03:20:31.813767;2025-04-14 00:00:00.0;2025-09-01T10:00;6505;DROGAS E MEDICAMENTOS
38022606000612024;6366081;SISPP;6; ;2;ÁLCOOL ETÍLICO, TIPO: HIDRATADO , TEOR ALCOÓLICO: 70%_(70°GL) , APRESENTAÇÃO: LÍQUIDO ;269941;null;L;GALÃO;GL;5,00;60,00;11,00;0,00;23460299000162;OK DENTAL COMERCIO DE MATERIAIS ODONTO MEDICO E HOSPITALAR LTDA.;alcool;380226;ESP-CTO.DET.PROV.""ASP CHARLES D.TEIXEIRA" PG;3541000;PRAIA GRANDE;SP;95602;ESP-SECRETARIA ADMINISTRACAO PENITENCIARIA;E;E;2024-10-16 00:00:00.0;2024-10-19T08:03:19.889360;2024-10-19T17:11:24.113192;2024-10-16 00:00:00.0;2024-03-25T15:15;6505;DROGAS E MEDICAMENTOS"
98742705000602023;4131400;SISRP;5;V;11;ÁLCOOL ETÍLICO, TIPO: HIDRATADO , TEOR ALCOÓLICO: 70%_(70°GL) , APRESENTAÇÃO: LÍQUIDO ;269941;null;ML;FRASCO;FR;100,00;1.000,00;55,09;0,00;41550166000169;CURAMED - PRODUTOS HOSPITALARES LTDA;RMS"; 3569100010011;987427;PREFEITUA MUNICIPAL DE ARAPONGAS - PR;4101507;ARAPONGAS;PR;97919;PREFEITURA DE ARAPONGAS - PR;E;M;2023-12-15 00:00:00.0;2024-12-16T03:29:59.874468;2024-12-16T03:59:59.870304;2023-12-15 00:00:00.0;2023-06-16T15:04;6505;DROGAS E MEDICAMENTOS
98696905902642024;8200532;SISRP;5;V;4;ÁLCOOL ETÍLICO, TIPO: HIDRATADO , TEOR ALCOÓLICO: 70%_(70°GL) , APRESENTAÇÃO: LÍQUIDO ;269941;null;ML;FRASCO;FR;1.000,00;60,00;5,31;0,00;04063331000121;CIRURGICA UNIAO LTDA;""ALCOOL"; Tipo: Etíli;986969;PREFEITURA MUNICIPAL DE RIBEIRAO PRETO - SP;3543402;RIBEIRÃO PRETO;SP;95611;PREFEITURA DE RIBEIRÃO PRETO;E;M;2025-05-13 00:00:00.0;2025-05-14T01:10:12.289168;2025-05-14T03:00:26.641166;2025-05-13 00:00:00.0;2023-06-15T15:11;6505;DROGAS E MEDICAMENTOS
98696905902642024;8200533;SISRP;5;V;5;ÁLCOOL ETÍLICO, TIPO: HIDRATADO , TEOR ALCOÓLICO: 70%_(70°GL) , APRESENTAÇÃO: GEL ;269943;null;L;GALÃO;GL;5,00;18,00;33,38;0,00;04063331000121;CIRURGICA UNIAO LTDA;""ALCOOL"; Tipo: Gel e;986969;PREFEITURA MUNICIPAL DE RIBEIRAO PRETO - SP;3543402;RIBEIRÃO PRETO;SP;95611;PREFEITURA DE RIBEIRÃO PRETO;E;M;2025-05-13 00:00:00.0;2025-05-14T01:10:12.289168;2025-05-14T03:00:26.672742;2025-05-13 00:00:00.0;2023-06-15T15:11;6505;DROGAS E MEDICAMENTOS
98013905900682025;9253997;SISRP;5;V;2;ÁLCOOL ETÍLICO, TIPO: HIDRATADO , TEOR ALCOÓLICO: 70%_(70°GL) , APRESENTAÇÃO: GEL ;269943;null;;LITRO;L;0,00;1.125,00;7,69;0,00;14869791000103;PAPELARIA MUNDO IMPORTACAO E EXPORTACAO LTDA;Álcool etílico"; 70%";;980139;PREFEITURA MUNICIPAL DE RIO BRANCO - AC;1200401;RIO BRANCO;AC;93127;AC - REFEITURA MUNICIPAL DE RIO BRANCO;E;M;2025-08-27 00:00:00.0;2025-08-28T01:10:09.697819;2025-08-28T03:02:45.745526;2025-08-27 00:00:00.0;2024-11-27T12:58;6505;DROGAS E MEDICAMENTOS
